mcg,gvh,lip,chg,aac,alm1,alm2,Y,Kfold
0.4,0.45,0.48,0.5,0.38,0.22,0,1,1
0.24,0.35,0.48,0.5,0.31,0.19,0.31,1,1
0.23,0.48,0.48,0.5,0.59,0.88,0.89,1,1
0.53,0.42,0.48,0.5,0.16,0.29,0.39,1,1
0.11,0.5,0.48,0.5,0.58,0.72,0.68,1,1
0.27,0.35,0.48,0.5,0.51,0.77,0.79,1,1
0.43,0.4,0.48,0.5,0.58,0.75,0.78,1,1
0.4,0.5,0.48,0.5,0.45,0.39,0.47,1,1
0.63,0.5,0.48,0.5,0.59,0.85,0.86,1,1
0.3,0.44,0.48,0.5,0.49,0.22,0.33,1,1
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1,1
0.7,0.46,0.48,0.5,0.56,0.78,0.73,1,1
0.42,0.4,0.48,0.5,0.56,0.18,0.3,1,1
0.28,0.38,0.48,0.5,0.5,0.33,0.42,1,1
0.37,0.44,0.48,0.5,0.42,0.39,0.47,1,1
0.44,0.49,0.48,0.5,0.39,0.38,0.4,1,1
0.38,0.3,0.48,0.5,0.43,0.29,0.39,1,1
0.37,0.47,0.48,0.5,0.39,0.76,0.79,1,1
0.52,0.39,0.48,0.5,0.65,0.71,0.73,1,1
0.6,0.46,0.48,0.5,0.45,0.81,0.83,1,1
0.16,0.51,0.48,0.5,0.33,0.39,0.48,1,1
0.31,0.47,0.48,0.5,0.29,0.28,0.39,1,1
0.73,0.36,0.48,0.5,0.53,0.91,0.92,1,2
0.36,0.39,0.48,0.5,0.48,0.22,0.23,1,2
0.53,0.38,0.48,0.5,0.44,0.26,0.36,1,2
0.66,0.53,0.48,0.5,0.59,0.66,0.66,1,2
0.25,0.51,0.48,0.5,0.37,0.42,0.5,1,2
0.34,0.55,0.48,0.5,0.58,0.31,0.41,1,2
0.23,0.4,0.48,0.5,0.39,0.28,0.38,1,2
0.29,0.3,0.48,0.5,0.45,0.03,0.17,1,2
0.44,0.27,0.48,0.5,0.55,0.52,0.58,1,2
0.61,0.66,0.48,0.5,0.46,0.87,0.88,1,2
0.23,0.33,0.48,0.5,0.43,0.33,0.43,1,2
0.5,0.57,0.48,0.5,0.71,0.61,0.66,1,2
0.69,0.39,0.48,0.5,0.57,0.76,0.79,1,2
0.33,0.56,0.48,0.5,0.33,0.78,0.8,1,2
0.31,0.23,0.48,0.5,0.73,0.05,0.14,1,2
0.29,0.47,0.48,0.5,0.41,0.23,0.34,1,2
0.34,0.49,0.48,0.5,0.58,0.85,0.8,1,2
0.04,0.31,0.48,0.5,0.41,0.29,0.39,1,2
0.25,0.48,0.48,0.5,0.44,0.17,0.29,1,2
0.51,0.37,0.48,0.5,0.35,0.36,0.45,1,2
0.5,0.51,0.48,0.5,0.27,0.23,0.34,1,2
0.6,0.61,0.48,0.5,0.54,0.67,0.71,1,2
0.26,0.26,0.48,0.5,0.34,0.25,0.35,1,3
0.34,0.67,0.48,0.5,0.52,0.76,0.79,1,3
0.41,0.43,0.48,0.5,0.5,0.24,0.25,1,3
0.68,0.51,0.48,0.5,0.71,0.75,0.78,1,3
0.3,0.37,0.48,0.5,0.43,0.18,0.3,1,3
0.36,0.54,0.48,0.5,0.41,0.38,0.46,1,3
0.44,0.28,0.48,0.5,0.43,0.27,0.37,1,3
0.47,0.55,0.48,0.5,0.58,0.71,0.75,1,3
0.36,0.42,0.48,0.5,0.53,0.32,0.41,1,3
0.39,0.32,0.48,0.5,0.46,0.24,0.35,1,3
0.17,0.38,0.48,0.5,0.45,0.42,0.5,1,3
0.29,0.47,0.48,0.5,0.71,0.65,0.69,1,3
0.43,0.32,0.48,0.5,0.33,0.45,0.52,1,3
0.3,0.45,0.48,0.5,0.36,0.21,0.32,1,3
0.24,0.57,0.48,0.5,0.63,0.34,0.43,1,3
0.21,0.34,0.48,0.5,0.51,0.28,0.39,1,3
0.58,0.55,0.48,0.5,0.57,0.7,0.74,1,3
0.38,0.26,0.48,0.5,0.54,0.16,0.28,1,3
0.41,0.43,0.48,0.5,0.45,0.31,0.41,1,3
0.67,0.39,0.48,0.5,0.36,0.38,0.46,1,3
0.43,0.37,0.48,0.5,0.53,0.35,0.44,1,3
0.63,0.65,0.48,0.5,0.66,0.67,0.71,1,3
0.57,0.54,0.48,0.5,0.37,0.28,0.33,1,4
0.17,0.39,0.48,0.5,0.53,0.3,0.39,1,4
0.4,0.5,0.48,0.5,0.65,0.82,0.84,1,4
0.48,0.49,0.48,0.5,0.52,0.77,0.71,1,4
0.24,0.34,0.48,0.5,0.38,0.3,0.4,1,4
0.54,0.47,0.48,0.5,0.28,0.33,0.42,1,4
0.33,0.47,0.48,0.5,0.53,0.18,0.29,1,4
0.47,0.29,0.48,0.5,0.51,0.33,0.43,1,4
0.31,0.5,0.48,0.5,0.57,0.84,0.85,1,4
0.36,0.41,0.48,0.5,0.48,0.47,0.54,1,4
0.22,0.43,0.48,0.5,0.48,0.16,0.28,1,4
0.35,0.51,0.48,0.5,0.61,0.71,0.74,1,4
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1,4
0.52,0.54,0.48,0.5,0.62,0.76,0.79,1,4
0.61,0.45,0.48,0.5,0.48,0.35,0.41,1,4
0.34,0.35,0.48,0.5,0.51,0.49,0.56,1,4
0.61,0.52,0.48,0.5,0.54,0.67,0.52,1,4
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1,4
0.48,0.42,0.48,0.5,0.45,0.25,0.35,1,4
0.3,0.16,0.48,0.5,0.56,0.11,0.23,1,4
0.12,0.43,0.48,0.5,0.63,0.7,0.74,1,4
0.46,0.61,0.48,0.5,0.48,0.86,0.87,1,4
